node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
6313,40.798634,-73.941622,East 116th Street / Lexington Avenue,East 116 Street / Lexington Avenue,East Harlem (North),Manhattan,16,10,0,7,0,0,0,0,0,0,8,6,0,3,0,10,7,0,0,0,4.295,2.756,1.539,16,6.757,-0.0,2.93,0.125,2025-02-26
261321,40.718482,-73.988244,Delancey Street / Essex Street,Delancey Street / Essex Street,Lower East Side,Manhattan,15,13,0,2,0,0,0,0,0,0,4,4,0,0,0,13,2,0,0,0,3.011,2.684,0.327,15,6.347,-0.0,2.76,0.333,2024-08-27
356096,40.764654,-73.823465,Northern Boulevard / Parsons Boulevard,Northern Boulevard / Parsons Boulevard,Murray Hill-Broadway Flushing,Queens,13,10,1,1,1,0,0,0,0,0,4,2,1,1,0,18,9,0,0,0,7.306,5.364,1.943,13,5.528,-0.0,2.4,0.154,2025-05-22
349069,40.857422,-73.89996,Grand Concourse / East 183rd Street,Grand Concourse / East 183 Street,Fordham Heights,Bronx,13,10,0,3,0,0,0,0,0,0,3,2,0,1,0,10,3,0,0,0,2.593,1.818,0.774,13,5.528,-0.0,2.4,0.462,2025-05-12
255887,40.748548,-73.973147,East 40th Street / 2nd Avenue,East 40 Street / 2 Avenue,Murray Hill-Kips Bay,Manhattan,18,10,0,9,0,1,0,0,1,0,11,5,0,6,0,10,9,0,1,1,5.278,2.44,2.838,17,7.166,-0.0,2.2,0.278,2026-05-11
210737,40.864479,-73.91894,10th Avenue / West 207th Street,West 207 Street / 10 Avenue,Inwood,Manhattan,11,10,0,1,0,0,0,0,0,0,7,6,0,1,0,10,1,0,0,0,3.031,2.749,0.282,11,4.709,-0.0,2.05,0.455,2025-02-13
66249,40.765227,-73.931696,Broadway / 21st Street,21 Street / Broadway,Old Astoria-Hallets Point,Queens,11,10,0,1,0,0,0,0,0,0,6,5,0,1,0,10,1,0,0,0,2.877,2.584,0.294,11,4.709,-0.0,2.05,0.091,2025-03-20
241135,40.668969,-73.93667,Troy Avenue / Eastern Parkway South Mall,Eastern Parkway / Troy Avenue,Crown Heights (South),Brooklyn,11,11,0,1,0,0,0,0,0,0,2,2,0,1,0,11,1,0,0,0,2.517,2.084,0.433,11,4.709,-0.0,2.05,0.364,2025-03-27
387338,40.669422,-73.944974,Brooklyn Avenue / Eastern Parkway South Mall,Brooklyn Avenue / Eastern Parkway,Crown Heights (South),Brooklyn,11,7,0,4,0,0,0,0,0,0,4,2,0,2,0,7,4,0,0,0,2.441,1.48,0.961,11,4.709,-0.0,2.05,0.273,2025-02-04
313095,40.678382,-73.949696,Atlantic Avenue / Nostrand Avenue,Atlantic Ave / Nostrand Ave,Crown Heights (North),Brooklyn,16,12,0,5,0,1,2,0,0,0,7,7,0,1,0,12,5,2,0,2,5.419,4.066,1.353,15,6.347,-0.0,1.89,0.25,2025-10-05
354356,40.586671,-73.96615,Ocean Parkway / Avenue Z,Ocean Parkway / Avenue Z,Gravesend (South),Brooklyn,16,12,0,4,0,1,1,0,0,0,7,5,0,2,0,12,4,1,0,1,3.972,3.165,0.807,15,6.347,-0.0,1.89,0.188,2025-06-20
360589,40.865984,-73.894433,East Kingsbridge Road / Grand Concourse,East Kingsbridge Road / Grand Concourse,University Heights (North)-Fordham,Bronx,10,7,0,3,0,0,0,0,0,0,6,3,0,3,0,7,3,0,0,0,2.838,1.713,1.125,10,4.3,-0.0,1.87,0.1,2025-04-25
227519,40.746846,-73.891429,Roosevelt Avenue / 74th Street,74 Street / Roosevelt Avenue,Jackson Heights,Queens,10,7,0,3,0,0,0,0,0,0,4,2,0,2,0,7,3,0,0,0,2.258,1.565,0.693,10,4.3,-0.0,1.87,0.2,2024-11-12
503171,40.651741,-73.930386,Church Avenue / Utica Avenue,Utica Avenue / Church Avenue,East Flatbush-Rugby,Brooklyn,15,14,0,1,0,1,1,0,0,0,4,4,0,0,0,14,1,1,0,1,3.419,3.276,0.143,14,5.938,-0.0,1.74,0.333,2025-10-28
231224,40.737686,-73.852039,Horace Harding Expressway / 108th Street,108 Street / Horace Harding Expressway,Corona,Queens,15,12,0,3,0,1,1,0,0,0,2,1,0,1,0,12,3,1,0,1,3.118,2.36,0.758,14,5.938,-0.0,1.74,0.133,2025-07-27
233050,40.757167,-73.822111,Bowne Street / Franklin Avenue,Franklin Avenue / Bowne Street,Flushing-Willets Point,Queens,9,7,0,2,0,0,0,0,0,0,5,3,0,2,0,7,2,0,0,0,2.498,1.897,0.602,9,3.89,-0.0,1.69,0.444,2025-05-13
349971,40.6353,-73.958207,Ocean Avenue / Farragut Road,Ocean Avenue / Farragut Road,Flatbush (West)-Ditmas Park-Parkville,Brooklyn,9,7,0,2,0,0,0,0,0,0,3,3,0,0,0,7,2,0,0,0,2.329,1.871,0.458,9,3.89,-0.0,1.69,0.111,2025-06-04
292802,40.834575,-73.917646,East 167th Street / Grand Concourse,Grand Concourse / East 167 Street,Concourse-Concourse Village,Bronx,9,7,0,2,0,0,0,0,0,0,3,3,0,0,0,7,2,0,0,0,1.908,1.627,0.281,9,3.89,-0.0,1.69,0.111,2025-03-03
236136,40.755477,-73.82472,Kissena Boulevard / Franklin Avenue,Kissena Boulevard / Franklin Avenue,Flushing-Willets Point,Queens,9,6,0,3,0,0,0,0,0,0,1,1,0,0,0,6,3,0,0,0,1.677,1.21,0.467,9,3.89,-0.0,1.69,0.778,2025-04-12
