node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
760558,40.80237,-73.964276,Amsterdam Avenue / West 109th Street,W 109 St / Amsterdam Ave,Upper West Side-Manhattan Valley,Manhattan,2,3,2,0,0,2,3,2,0,0,2,3,2,0,0,19,0,19,0,19,17.653,17.653,0.0,0,0.205,-0.0,-0.0,0.0,2026-05-15
79455,40.777253,-73.897981,42nd Street / 19th Avenue,42 St / 19 Ave,Astoria (North)-Ditmars-Steinway,Queens,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,16,0,16,0,16,9.004,9.004,0.0,0,0.205,-0.0,-0.0,0.0,2025-08-12
170022,40.646449,-74.01558,3rd Avenue / 52nd Street,3 Ave / 52 St,Sunset Park (West),Brooklyn,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,16,0,16,0,16,8.473,8.473,0.0,0,0.205,-0.0,-0.0,1.0,2025-07-11
197199,40.869434,-73.826116,Co-op City Boulevard / Bartow Avenue,Co-Op City Blvd / Bartow Ave,Co-op City,Bronx,13,12,1,1,0,6,6,1,0,0,9,9,1,0,0,20,1,14,0,14,13.457,13.34,0.117,7,3.071,1.04,-0.0,0.154,2026-04-21
8192,40.670241,-73.906998,Mother Gaston Boulevard / Pitkin Avenue,Mother Gaston Blvd / Pitkin Ave,Brownsville,Brooklyn,18,11,1,6,0,8,4,1,3,0,12,7,1,4,0,19,6,12,3,15,13.784,10.574,3.21,10,4.3,1.15,0.01,0.056,2026-06-04
581868,40.749674,-73.995296,West 30th Street / 8th Avenue,W 30 St / 8 Ave,Midtown South-Flatiron-Union Square,Manhattan,11,16,0,2,0,6,12,0,1,0,9,14,0,2,0,16,2,12,1,13,10.045,9.016,1.028,5,2.252,1.56,-0.0,0.182,2026-04-17
65523,40.748526,-73.875432,Roosevelt Avenue / Benham Street,91 St / Roosevelt Ave,Elmhurst,Queens,4,4,1,2,0,4,4,1,2,0,4,4,1,2,0,12,2,12,2,14,8.38,7.225,1.155,0,0.205,4.21,-0.0,0.25,2025-10-25
5038,40.752205,-73.981824,5th Avenue / East 40th Street,E 40 St / 5 Ave,Midtown-Times Square,Manhattan,6,4,1,2,0,5,4,1,1,0,5,4,1,1,0,12,2,12,1,13,8.259,7.336,0.922,1,0.614,3.36,-0.0,0.167,2025-12-15
352113,40.613511,-73.954084,Ocean Avenue / Avenue O,Ocean Ave / Avenue O,Midwood,Brooklyn,8,7,1,0,0,4,3,1,0,0,7,6,1,0,0,15,0,11,0,11,10.001,10.001,0.0,4,1.843,0.94,-0.0,0.0,2026-04-02
454839,40.662636,-73.880748,Ashford Street / Linden Boulevard,Linden Blvd / Ashford St,East New York-New Lots,Brooklyn,6,5,1,1,0,3,3,1,0,0,6,5,1,1,0,13,1,11,0,11,8.858,8.478,0.381,3,1.433,-0.0,-0.0,0.167,2026-01-01
232168,40.704865,-73.79166,168th Street / Archer Avenue,168 St / 93 Ave,Jamaica,Queens,6,5,1,0,0,4,3,1,0,0,4,3,1,0,0,13,0,11,0,11,7.74,7.74,0.0,2,1.024,1.69,-0.0,0.333,2025-12-05
334446,40.759992,-73.964803,East 58th Street / 2nd Avenue,East 58 Street / 2 Avenue,East Midtown-Turtle Bay,Manhattan,22,11,1,11,0,4,2,1,2,0,13,7,1,6,0,19,11,10,2,12,14.443,10.672,3.771,18,7.576,0.03,0.9,0.182,2026-05-06
241169,40.668744,-73.933908,Eastern Parkway Service Road / Schenectady Avenue,Eastern Parkway / Schenectady Avenue,Crown Heights (South),Brooklyn,18,14,1,3,0,3,2,1,0,0,10,8,1,1,0,22,3,10,0,10,10.12,9.522,0.598,15,6.347,-0.0,0.91,0.278,2026-02-09
225277,40.766859,-73.953748,East 72nd Street / York Avenue,York Ave / E 72 St,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,6,3,2,1,0,3,2,1,0,0,4,2,2,0,0,19,1,10,0,10,9.601,9.354,0.247,3,1.433,-0.0,-0.0,0.167,2025-11-15
