node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
752227,40.856636,-73.867639,Pelham Parkway South / White Plains Road,Pelham Parkway / White Plains Road,Pelham Parkway-Van Nest,Bronx,14,9,0,5,0,11,7,0,4,0,14,9,0,5,0,9,5,7,4,11,8.347,5.509,2.838,3,1.433,6.45,-0.0,0.0,2026-03-12
565946,40.813073,-73.898213,Leggett Avenue / Bruckner Boulevard,Bruckner Blvd / Leggett Ave,Hunts Point,Bronx,5,4,0,1,0,5,4,0,1,0,5,4,0,1,0,4,1,4,1,5,3.846,2.907,0.939,0,0.205,5.6,-0.0,0.4,2026-05-09
282591,40.812169,-73.942173,West 132nd Street / Malcolm X Boulevard,W 132 St / Lenox Ave,Harlem (North),Manhattan,5,1,0,5,0,5,1,0,5,0,5,1,0,5,0,1,5,1,5,6,3.625,0.588,3.037,0,0.205,5.6,-0.0,0.2,2026-02-06
182321,40.649585,-73.938869,Snyder Avenue / Albany Avenue,Snyder Ave / Albany Ave,East Flatbush-Rugby,Brooklyn,7,5,0,2,0,6,5,0,1,0,7,5,0,2,0,5,2,5,1,6,4.514,3.61,0.904,1,0.614,4.35,-0.0,0.0,2026-03-11
200126,40.756142,-73.983166,6th Avenue / West 44th Street,W 44 St / Avenue Of The Americas,Midtown-Times Square,Manhattan,7,7,0,0,0,6,6,0,0,0,6,6,0,0,0,7,0,6,0,6,4.326,4.326,0.0,1,0.614,4.35,-0.0,0.0,2026-05-01
65523,40.748526,-73.875432,Roosevelt Avenue / Benham Street,91 St / Roosevelt Ave,Elmhurst,Queens,4,4,1,2,0,4,4,1,2,0,4,4,1,2,0,12,2,12,2,14,8.38,7.225,1.155,0,0.205,4.21,-0.0,0.25,2025-10-25
31877,40.895598,-73.856158,East 236th Street / White Plains Road,White Plains Rd / E 236 St,Wakefield-Woodlawn,Bronx,4,1,0,3,0,4,1,0,3,0,4,1,0,3,0,1,3,1,3,4,3.406,0.713,2.692,0,0.205,4.21,-0.0,0.25,2026-05-20
389442,40.846495,-73.89424,East Tremont Avenue / Lafontaine Avenue,E Tremont Ave / Lafontaine Ave,Tremont,Bronx,4,2,0,2,0,4,2,0,2,0,4,2,0,2,0,2,2,2,2,4,3.39,1.864,1.526,0,0.205,4.21,-0.0,0.0,2026-06-05
191874,40.82629,-73.925669,East 158th Street / Gerard Avenue,E 158 St / Gerard Ave,Concourse-Concourse Village,Bronx,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,4,0,4,3.325,3.325,0.0,0,0.205,4.21,-0.0,0.0,2026-05-22
239876,40.658114,-73.933999,Winthrop Street / Schenectady Avenue,Winthrop St / Schenectady Ave,Prospect Lefferts Gardens-Wingate,Brooklyn,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,4,0,4,3.053,3.053,0.0,0,0.205,4.21,-0.0,0.0,2026-05-08
32742,40.833368,-73.85138,Newbold Avenue / Castle Hill Avenue,Castle Hill Ave / Newbold Ave,Castle Hill-Unionport,Bronx,4,3,0,1,0,4,3,0,1,0,4,3,0,1,0,3,1,3,1,4,3.009,2.487,0.523,0,0.205,4.21,-0.0,0.25,2026-04-25
25591,40.830082,-73.85061,Cross Bronx Expressway Service Road / Castle Hill Avenue,Castle Hill Ave / Cross Bronx Expy,Castle Hill-Unionport,Bronx,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,4,0,4,2.906,2.906,0.0,0,0.205,4.21,-0.0,0.25,2026-01-30
453900,40.753406,-73.792361,Utopia Parkway / 46th Avenue,Utopia Pkwy / 46 Ave,Auburndale,Queens,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,4,0,4,2.753,2.753,0.0,0,0.205,4.21,-0.0,0.0,2026-02-18
236559,40.733741,-73.864345,Junction Boulevard / Horace Harding Expressway,Long Island Expressway / Junction Boulevard,Rego Park,Queens,4,2,0,2,0,4,2,0,2,0,4,2,0,2,0,2,2,2,2,4,2.673,1.098,1.575,0,0.205,4.21,-0.0,0.0,2026-05-13
192799,40.861131,-73.890192,East Fordham Road / Third Avenue,E Fordham Rd / 3 Ave,Belmont,Bronx,4,3,0,1,0,4,3,0,1,0,4,3,0,1,0,3,1,3,1,4,2.575,2.019,0.556,0,0.205,4.21,-0.0,0.25,2026-03-18
406822,40.71572,-73.746531,Jamaica Avenue / 212th Street,212 St / Jamaica Ave,Queens Village,Queens,4,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,4,0,4,2.551,2.551,0.0,0,0.205,4.21,-0.0,0.25,2025-12-18
358453,40.76416,-73.984741,8th Avenue / West 53rd Street,W 53 St / 8 Ave,Hell's Kitchen,Manhattan,9,3,0,6,0,7,2,0,5,0,7,2,0,5,0,3,6,2,5,7,5.623,1.683,3.94,2,1.024,4.02,-0.0,0.444,2026-05-13
225157,40.794614,-73.971665,Broadway / West 96th Street,W 96 St / Broadway,Upper West Side (Central),Manhattan,15,11,0,4,0,10,7,0,3,0,14,10,0,4,0,11,4,7,3,10,9.246,6.589,2.657,5,2.252,3.91,-0.0,0.533,2026-05-01
247536,40.818549,-73.927236,East 149th Street / Grand Concourse,E 149 St / Grand Conc,Concourse-Concourse Village,Bronx,11,6,0,5,0,8,3,0,5,0,11,6,0,5,0,6,5,3,5,8,7.374,3.454,3.921,3,1.433,3.9,-0.0,0.182,2026-05-14
5038,40.752205,-73.981824,5th Avenue / East 40th Street,E 40 St / 5 Ave,Midtown-Times Square,Manhattan,6,4,1,2,0,5,4,1,1,0,5,4,1,1,0,12,2,12,1,13,8.259,7.336,0.922,1,0.614,3.36,-0.0,0.167,2025-12-15
164744,40.810234,-73.947299,West 127th Street / Adam Clayton Powell Jr. Boulevard,W 127 St / Adam Clayton Powell Jr Blvd,Harlem (North),Manhattan,6,4,0,4,0,5,4,0,2,0,5,4,0,2,0,4,4,4,2,6,4.546,3.125,1.421,1,0.614,3.36,-0.0,0.0,2026-05-06
163470,40.721794,-73.999862,Broome Street / Broadway,Broome St / Broadway,SoHo-Little Italy-Hudson Square,Manhattan,6,1,0,5,0,5,1,0,4,0,6,1,0,5,0,1,5,1,4,5,3.903,0.701,3.201,1,0.614,3.36,-0.0,0.0,2026-04-23
358277,40.71508,-73.832296,78th Avenue / Queens Boulevard,78 Ave / Queens Blvd,Forest Hills,Queens,6,6,0,0,0,5,5,0,0,0,5,5,0,0,0,6,0,5,0,5,3.709,3.709,0.0,1,0.614,3.36,-0.0,0.0,2026-04-23
239025,40.640952,-73.948515,Avenue D / Nostrand Avenue,Avenue D / Nostrand Ave,East Flatbush-Erasmus,Brooklyn,6,4,0,2,0,5,3,0,2,0,5,3,0,2,0,4,2,3,2,5,3.512,2.377,1.135,1,0.614,3.36,-0.0,0.167,2026-02-13
171264,40.759561,-73.830136,Roosevelt Avenue / Main Street,Main St / Roosevelt Ave,Flushing-Willets Point,Queens,12,10,0,2,0,8,6,0,2,0,10,8,0,2,0,10,2,6,2,8,6.663,5.515,1.148,4,1.843,3.19,-0.0,0.167,2026-03-22
