node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
760558,40.80237,-73.964276,Amsterdam Avenue / West 109th Street,W 109 St / Amsterdam Ave,Upper West Side-Manhattan Valley,Manhattan,2,3,2,0,0,2,3,2,0,0,2,3,2,0,0,19,0,19,0,19,17.653,17.653,0.0,0,0.205,-0.0,-0.0,0.0,2026-05-15
334446,40.759992,-73.964803,East 58th Street / 2nd Avenue,East 58 Street / 2 Avenue,East Midtown-Turtle Bay,Manhattan,22,11,1,11,0,4,2,1,2,0,13,7,1,6,0,19,11,10,2,12,14.443,10.672,3.771,18,7.576,0.03,0.9,0.182,2026-05-06
394316,40.810176,-73.951178,Frederick Douglass Boulevard / West 125th Street,West 125 Street / 8 Avenue,Harlem (South),Manhattan,19,13,0,6,1,4,2,0,2,1,7,4,0,3,1,13,14,2,10,12,12.032,3.096,8.935,15,6.347,0.06,0.62,0.316,2026-03-19
199146,40.757234,-73.989791,8th Avenue / West 42nd Street,W 42 St / 8 Ave,Hell's Kitchen,Manhattan,28,20,0,8,0,8,6,0,2,0,17,13,0,4,0,20,8,6,2,8,10.628,7.531,3.098,20,8.395,0.22,0.27,0.286,2026-03-21
6117,40.711525,-73.980623,Jackson Street / Water Street,Jackson Street / Water Street,Lower East Side,Manhattan,2,8,4,0,0,0,0,0,0,0,1,7,4,0,0,40,0,0,0,0,10.309,10.309,0.0,2,1.024,-0.0,-0.0,0.0,2024-07-04
581868,40.749674,-73.995296,West 30th Street / 8th Avenue,W 30 St / 8 Ave,Midtown South-Flatiron-Union Square,Manhattan,11,16,0,2,0,6,12,0,1,0,9,14,0,2,0,16,2,12,1,13,10.045,9.016,1.028,5,2.252,1.56,-0.0,0.182,2026-04-17
225277,40.766859,-73.953748,East 72nd Street / York Avenue,York Ave / E 72 St,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,6,3,2,1,0,3,2,1,0,0,4,2,2,0,0,19,1,10,0,10,9.601,9.354,0.247,3,1.433,-0.0,-0.0,0.167,2025-11-15
355391,40.74658,-73.99755,8th Avenue / West 25th Street,8 Ave / W 25 St,Chelsea-Hudson Yards,Manhattan,5,1,2,2,0,4,1,1,2,0,4,1,1,2,0,17,2,9,2,11,9.454,7.63,1.823,1,0.614,2.44,-0.0,0.2,2026-06-04
355165,40.814081,-73.940781,West 135th Street / Malcolm X Boulevard,W 135 St / Lenox Ave,Harlem (North),Manhattan,17,12,1,7,0,4,1,0,3,0,12,9,1,5,0,20,7,1,3,4,9.441,5.92,3.521,13,5.528,0.1,0.45,0.176,2026-05-20
164274,40.763382,-73.982903,West 53rd Street / Broadway,W 53 St / Broadway,Midtown-Times Square,Manhattan,8,6,1,2,0,4,1,1,2,0,6,4,1,2,0,14,2,9,2,11,9.286,7.776,1.51,4,1.843,0.94,-0.0,0.25,2026-04-04
225157,40.794614,-73.971665,Broadway / West 96th Street,W 96 St / Broadway,Upper West Side (Central),Manhattan,15,11,0,4,0,10,7,0,3,0,14,10,0,4,0,11,4,7,3,10,9.246,6.589,2.657,5,2.252,3.91,-0.0,0.533,2026-05-01
213,40.791676,-73.964694,Central Park West / 97th Street Transverse,Central Park W / W 96 St,Upper West Side (Central),Manhattan,17,6,0,13,0,7,4,0,5,0,9,5,0,6,0,6,13,4,5,9,9.207,3.803,5.404,10,4.3,0.84,0.03,0.235,2026-05-02
164264,40.759176,-73.976741,5th Avenue / West 51st Street,5 Ave / E 51 St,Midtown-Times Square,Manhattan,9,7,1,1,1,1,1,0,0,0,8,6,1,1,1,15,9,1,0,1,9.126,5.628,3.498,8,3.481,-0.0,0.86,0.222,2025-09-15
357379,40.848136,-73.93088,Amsterdam Avenue / West 181st Street,West 181 Street / Amsterdam Avenue,Washington Heights (North),Manhattan,6,3,0,2,1,2,1,0,0,1,4,1,0,2,1,3,10,1,8,9,9.034,0.991,8.043,4,1.843,-0.0,-0.0,0.333,2026-05-02
225925,40.802764,-73.933577,East 125th Street / 2nd Avenue,East 125 Street / 2 Avenue,East Harlem (North),Manhattan,14,5,1,8,0,3,1,0,2,0,11,4,1,6,0,13,8,1,2,3,8.85,5.838,3.012,11,4.709,-0.0,0.51,0.071,2026-04-08
210934,40.826403,-73.95036,West 145th Street / Broadway,W 145 St / Broadway,Hamilton Heights-Sugar Hill,Manhattan,14,10,0,6,0,8,7,0,3,0,13,10,0,5,0,10,6,7,3,10,8.478,5.747,2.731,6,2.662,2.21,-0.0,0.286,2026-01-10
2484,40.751009,-73.990612,7th Avenue / West 34th Street,W 34 St / 7 Ave,Midtown-Times Square,Manhattan,21,15,0,6,0,8,6,0,2,0,13,9,0,4,0,15,6,6,2,8,8.457,5.77,2.687,13,5.528,0.71,0.05,0.286,2026-04-19
2279,40.786438,-73.942395,1st Avenue / East 101st Street,1 Ave / E 101 St,East Harlem (South),Manhattan,7,4,1,2,0,3,2,1,0,0,5,3,1,1,0,12,2,10,0,10,8.278,7.741,0.537,4,1.843,-0.0,-0.0,0.286,2025-12-23
5038,40.752205,-73.981824,5th Avenue / East 40th Street,E 40 St / 5 Ave,Midtown-Times Square,Manhattan,6,4,1,2,0,5,4,1,1,0,5,4,1,1,0,12,2,12,1,13,8.259,7.336,0.922,1,0.614,3.36,-0.0,0.167,2025-12-15
162058,40.71991,-73.992948,Chrystie Street / Delancey Street,Chrystie Street / Delancey Street,Lower East Side,Manhattan,19,6,0,15,0,8,0,0,9,0,9,0,0,10,0,6,15,0,9,9,8.256,0.905,7.351,11,4.709,0.98,0.02,0.211,2026-05-27
1902,40.749801,-73.987746,West 34th Street / 6th Avenue,W 34 St / Avenue Of The Americas,Midtown South-Flatiron-Union Square,Manhattan,16,19,0,4,0,5,4,0,1,0,10,15,0,2,0,19,4,4,1,5,8.154,6.921,1.234,11,4.709,0.29,0.18,0.312,2026-03-05
