node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
199146,40.757234,-73.989791,8th Avenue / West 42nd Street,W 42 St / 8 Ave,Hell's Kitchen,Manhattan,28,20,0,8,0,8,6,0,2,0,17,13,0,4,0,20,8,6,2,8,10.628,7.531,3.098,20,8.395,0.22,0.27,0.286,2026-03-21
558055,40.696985,-73.935293,Broadway / Myrtle Avenue,Broadway / Myrtle Ave,Bedford-Stuyvesant (East),Brooklyn,26,21,1,5,0,6,5,0,1,0,14,10,1,3,0,29,5,5,1,6,11.517,9.831,1.687,20,8.395,0.07,0.57,0.423,2026-03-27
247524,40.817396,-73.922762,Morris Avenue / East 149th Street,East 149 Street / Morris Avenue,Melrose,Bronx,24,14,2,8,0,5,4,0,1,0,16,11,2,3,0,30,8,4,1,5,13.372,11.276,2.096,19,7.985,0.05,0.72,0.125,2026-01-06
394397,40.668669,-73.93114,Utica Avenue / Eastern Parkway South Mall,Eastern Pkwy / Utica Ave,Crown Heights (South),Brooklyn,24,21,0,3,0,9,8,0,1,0,16,13,0,3,0,21,3,8,1,9,10.375,8.637,1.738,15,6.347,0.72,0.05,0.375,2026-06-03
242799,40.700725,-73.941931,Broadway / Flushing Avenue,Broadway / Flushing Avenue,Bedford-Stuyvesant (East),Brooklyn,24,11,1,12,0,4,3,0,1,0,17,8,0,9,0,19,12,3,1,4,8.886,5.297,3.589,20,8.395,0.01,1.1,0.375,2026-05-06
377256,40.718164,-73.993839,Chrystie Street / Grand Street,Chrystie Street / Grand Street,Lower East Side,Manhattan,24,9,1,15,0,3,1,0,2,0,11,5,0,6,0,17,15,1,2,3,7.956,3.733,4.222,21,8.804,-0.0,1.61,0.292,2026-01-12
334446,40.759992,-73.964803,East 58th Street / 2nd Avenue,East 58 Street / 2 Avenue,East Midtown-Turtle Bay,Manhattan,22,11,1,11,0,4,2,1,2,0,13,7,1,6,0,19,11,10,2,12,14.443,10.672,3.771,18,7.576,0.03,0.9,0.182,2026-05-06
249384,40.861649,-73.891436,East Fordham Road / Webster Avenue,E Fordham Rd / Webster Ave,Fordham Heights,Bronx,22,20,0,3,0,11,9,0,2,0,16,13,0,3,0,20,3,9,2,11,10.347,8.562,1.786,11,4.709,2.04,0.0,0.227,2026-05-16
185798,40.570443,-74.109697,New Dorp Lane / Hylan Boulevard,Hylan Boulevard / New Dorp Lane,New Dorp-Midland Beach,Staten Island,21,16,1,4,0,5,5,0,0,0,11,8,1,2,0,24,4,5,0,5,10.193,8.996,1.198,16,6.757,0.09,0.48,0.238,2026-05-23
249696,40.82407,-73.908711,Third Avenue / East 163rd Street,E 163 St / 3 Ave,Morrisania,Bronx,21,13,0,10,0,8,5,0,4,0,14,8,0,7,0,13,10,5,4,9,10.134,5.786,4.348,13,5.528,0.71,0.05,0.286,2026-04-25
