node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
394316,40.810176,-73.951178,Frederick Douglass Boulevard / West 125th Street,West 125 Street / 8 Avenue,Harlem (South),Manhattan,19,13,0,6,1,4,2,0,2,1,7,4,0,3,1,13,14,2,10,12,12.032,3.096,8.935,15,6.347,0.06,0.62,0.316,2026-03-19
357379,40.848136,-73.93088,Amsterdam Avenue / West 181st Street,West 181 Street / Amsterdam Avenue,Washington Heights (North),Manhattan,6,3,0,2,1,2,1,0,0,1,4,1,0,2,1,3,10,1,8,9,9.034,0.991,8.043,4,1.843,-0.0,-0.0,0.333,2026-05-02
42538,40.595748,-73.774775,Beach 43rd Street / Beach Channel Drive,Beach 43 Street / Beach Channel Drive,Rockaway Beach-Arverne-Edgemere,Queens,3,2,0,0,1,1,0,0,0,1,2,1,0,0,1,2,8,0,8,8,8.265,0.563,7.702,2,1.024,-0.0,-0.0,0.333,2026-05-22
44356,40.712453,-73.918535,Woodward Avenue / Flushing Avenue,Woodward Avenue / Flushing Avenue,Ridgewood,Queens,3,1,0,1,1,2,1,0,0,1,3,1,0,1,1,1,9,1,8,9,8.588,0.918,7.67,1,0.614,-0.0,-0.0,0.333,2026-05-01
162058,40.71991,-73.992948,Chrystie Street / Delancey Street,Chrystie Street / Delancey Street,Lower East Side,Manhattan,19,6,0,15,0,8,0,0,9,0,9,0,0,10,0,6,15,0,9,9,8.256,0.905,7.351,11,4.709,0.98,0.02,0.211,2026-05-27
4481,40.868505,-73.918505,Broadway / West 212th Street,Broadway / W 212 St,Inwood,Manhattan,3,0,0,2,1,2,0,0,1,1,3,0,0,2,1,0,10,0,9,9,7.349,0.0,7.349,1,0.614,-0.0,-0.0,0.333,2026-02-12
272569,40.629869,-73.944536,Flatbush Avenue / New York Avenue,Flatbush Ave / New York Ave,Flatlands,Brooklyn,3,3,0,0,1,2,2,0,0,1,3,3,0,0,1,3,8,2,8,10,9.215,1.898,7.317,1,0.614,-0.0,-0.0,0.667,2026-04-25
3274,40.75075,-73.96841,East 45th Street / 1st Avenue,E 45 St / 1 Ave,United Nations,Manhattan,4,1,0,2,1,3,1,0,1,1,4,1,0,2,1,1,10,1,9,10,7.657,0.635,7.022,1,0.614,-0.0,-0.0,0.25,2026-01-13
11934,40.631037,-73.98551,16th Avenue / 49th Street,16 Ave / 49 St,Borough Park,Brooklyn,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,8,0,8,8,6.718,0.0,6.718,0,0.205,-0.0,-0.0,0.0,2026-03-11
226594,40.753633,-73.914549,Northern Boulevard / 48th Street,Northern Blvd / 48 St,Sunnyside Yards (North),Queens,16,1,0,15,0,7,0,0,7,0,11,1,0,10,0,1,15,0,7,7,7.093,0.437,6.656,9,3.89,1.0,0.02,0.312,2026-05-14
277535,40.760615,-73.805849,160th Street / Sanford Avenue,Sanford Ave / 160 St,East Flushing,Queens,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,8,0,8,8,6.11,0.0,6.11,0,0.205,-0.0,-0.0,0.0,2026-01-20
