node_id,lat,lon,name_osm,name_crash,nta,borough,crashes,ped_inj,ped_kill,cyc_inj,cyc_kill,f12_crashes,f12_ped_inj,f12_ped_kill,f12_cyc_inj,f12_cyc_kill,f24_crashes,f24_ped_inj,f24_ped_kill,f24_cyc_inj,f24_cyc_kill,score_ped_w,score_cyc_w,score_f12_ped_w,score_f12_cyc_w,score_f12_all_w,recency_score,recency_ped,recency_cyc,base_crashes,base_rate_12mo,heat_surprise,cool_surprise,night_share,last_crash
760558,40.80237,-73.964276,Amsterdam Avenue / West 109th Street,W 109 St / Amsterdam Ave,Upper West Side-Manhattan Valley,Manhattan,2,3,2,0,0,2,3,2,0,0,2,3,2,0,0,19,0,19,0,19,17.653,17.653,0.0,0,0.205,-0.0,-0.0,0.0,2026-05-15
197199,40.869434,-73.826116,Co-op City Boulevard / Bartow Avenue,Co-Op City Blvd / Bartow Ave,Co-op City,Bronx,13,12,1,1,0,6,6,1,0,0,9,9,1,0,0,20,1,14,0,14,13.457,13.34,0.117,7,3.071,1.04,-0.0,0.154,2026-04-21
351646,40.607266,-73.967262,Quentin Road / Ocean Parkway,Ocean Parkway / Quentin Road,Gravesend (East)-Homecrest,Brooklyn,5,4,3,1,0,1,1,0,0,0,4,3,3,1,0,28,1,1,0,1,12.199,11.921,0.279,4,1.843,-0.0,-0.0,0.0,2025-12-11
247524,40.817396,-73.922762,Morris Avenue / East 149th Street,East 149 Street / Morris Avenue,Melrose,Bronx,24,14,2,8,0,5,4,0,1,0,16,11,2,3,0,30,8,4,1,5,13.372,11.276,2.096,19,7.985,0.05,0.72,0.125,2026-01-06
334446,40.759992,-73.964803,East 58th Street / 2nd Avenue,East 58 Street / 2 Avenue,East Midtown-Turtle Bay,Manhattan,22,11,1,11,0,4,2,1,2,0,13,7,1,6,0,19,11,10,2,12,14.443,10.672,3.771,18,7.576,0.03,0.9,0.182,2026-05-06
8192,40.670241,-73.906998,Mother Gaston Boulevard / Pitkin Avenue,Mother Gaston Blvd / Pitkin Ave,Brownsville,Brooklyn,18,11,1,6,0,8,4,1,3,0,12,7,1,4,0,19,6,12,3,15,13.784,10.574,3.21,10,4.3,1.15,0.01,0.056,2026-06-04
6117,40.711525,-73.980623,Jackson Street / Water Street,Jackson Street / Water Street,Lower East Side,Manhattan,2,8,4,0,0,0,0,0,0,0,1,7,4,0,0,40,0,0,0,0,10.309,10.309,0.0,2,1.024,-0.0,-0.0,0.0,2024-07-04
352113,40.613511,-73.954084,Ocean Avenue / Avenue O,Ocean Ave / Avenue O,Midwood,Brooklyn,8,7,1,0,0,4,3,1,0,0,7,6,1,0,0,15,0,11,0,11,10.001,10.001,0.0,4,1.843,0.94,-0.0,0.0,2026-04-02
558055,40.696985,-73.935293,Broadway / Myrtle Avenue,Broadway / Myrtle Ave,Bedford-Stuyvesant (East),Brooklyn,26,21,1,5,0,6,5,0,1,0,14,10,1,3,0,29,5,5,1,6,11.517,9.831,1.687,20,8.395,0.07,0.57,0.423,2026-03-27
249361,40.80461,-73.91223,East 138th Street / Bruckner Boulevard Shared-Use Path,Bruckner Blvd / E 138 St,Mott Haven-Port Morris,Bronx,13,8,1,5,0,4,1,1,2,0,7,3,1,3,0,16,5,9,2,11,12.068,9.671,2.397,9,3.89,0.26,0.19,0.154,2026-05-07
241169,40.668744,-73.933908,Eastern Parkway Service Road / Schenectady Avenue,Eastern Parkway / Schenectady Avenue,Crown Heights (South),Brooklyn,18,14,1,3,0,3,2,1,0,0,10,8,1,1,0,22,3,10,0,10,10.12,9.522,0.598,15,6.347,-0.0,0.91,0.278,2026-02-09
45795,40.731724,-73.770167,Francis Lewis Boulevard / Union Turnpike,Francis Lewis Blvd / Union Tpke,Cunningham Park,Queens,3,3,1,0,0,1,1,1,0,0,3,3,1,0,0,11,0,9,0,9,9.512,9.512,0.0,2,1.024,-0.0,-0.0,0.0,2026-05-25
225277,40.766859,-73.953748,East 72nd Street / York Avenue,York Ave / E 72 St,Upper East Side-Lenox Hill-Roosevelt Island,Manhattan,6,3,2,1,0,3,2,1,0,0,4,2,2,0,0,19,1,10,0,10,9.601,9.354,0.247,3,1.433,-0.0,-0.0,0.167,2025-11-15
218286,40.65397,-73.912238,Rockaway Parkway / Linden Boulevard,Linden Boulevard / Rockaway Parkway,East Flatbush-Remsen Village,Brooklyn,5,5,1,0,0,2,2,1,0,0,4,4,1,0,0,13,0,10,0,10,9.27,9.27,0.0,3,1.433,-0.0,-0.0,0.0,2026-05-27
279069,40.686516,-73.854867,87th Street / Atlantic Avenue,Atlantic Avenue / 87 Street,Woodhaven,Queens,6,6,2,0,0,1,1,0,0,0,4,4,2,0,0,22,0,1,0,1,9.073,9.073,0.0,5,2.252,-0.0,-0.0,0.0,2025-11-15
581868,40.749674,-73.995296,West 30th Street / 8th Avenue,W 30 St / 8 Ave,Midtown South-Flatiron-Union Square,Manhattan,11,16,0,2,0,6,12,0,1,0,9,14,0,2,0,16,2,12,1,13,10.045,9.016,1.028,5,2.252,1.56,-0.0,0.182,2026-04-17
79455,40.777253,-73.897981,42nd Street / 19th Avenue,42 St / 19 Ave,Astoria (North)-Ditmars-Steinway,Queens,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,16,0,16,0,16,9.004,9.004,0.0,0,0.205,-0.0,-0.0,0.0,2025-08-12
185798,40.570443,-74.109697,New Dorp Lane / Hylan Boulevard,Hylan Boulevard / New Dorp Lane,New Dorp-Midland Beach,Staten Island,21,16,1,4,0,5,5,0,0,0,11,8,1,2,0,24,4,5,0,5,10.193,8.996,1.198,16,6.757,0.09,0.48,0.238,2026-05-23
240187,40.701049,-73.910681,Gates Avenue / Saint Nicholas Avenue,St Nicholas Ave / Gates Ave,Ridgewood,Queens,5,4,1,0,0,3,2,1,0,0,3,2,1,0,0,12,0,10,0,10,8.932,8.932,0.0,2,1.024,-0.0,-0.0,0.0,2026-04-17
394397,40.668669,-73.93114,Utica Avenue / Eastern Parkway South Mall,Eastern Pkwy / Utica Ave,Crown Heights (South),Brooklyn,24,21,0,3,0,9,8,0,1,0,16,13,0,3,0,21,3,8,1,9,10.375,8.637,1.738,15,6.347,0.72,0.05,0.375,2026-06-03
249384,40.861649,-73.891436,East Fordham Road / Webster Avenue,E Fordham Rd / Webster Ave,Fordham Heights,Bronx,22,20,0,3,0,11,9,0,2,0,16,13,0,3,0,20,3,9,2,11,10.347,8.562,1.786,11,4.709,2.04,0.0,0.227,2026-05-16
348002,40.759751,-73.931978,Crescent Street / 35th Avenue,Crescent St / 35 Ave,Queensbridge-Ravenswood-Dutch Kills,Queens,3,2,1,1,0,1,1,1,0,0,2,2,1,0,0,10,1,9,0,9,8.642,8.495,0.148,2,1.024,-0.0,-0.0,0.0,2026-04-17
454839,40.662636,-73.880748,Ashford Street / Linden Boulevard,Linden Blvd / Ashford St,East New York-New Lots,Brooklyn,6,5,1,1,0,3,3,1,0,0,6,5,1,1,0,13,1,11,0,11,8.858,8.478,0.381,3,1.433,-0.0,-0.0,0.167,2026-01-01
170022,40.646449,-74.01558,3rd Avenue / 52nd Street,3 Ave / 52 St,Sunset Park (West),Brooklyn,1,0,2,0,0,1,0,2,0,0,1,0,2,0,0,16,0,16,0,16,8.473,8.473,0.0,0,0.205,-0.0,-0.0,1.0,2025-07-11
98130,40.62528,-74.135474,Forest Avenue / Burnside Avenue,,Westerleigh-Castleton Corners,Staten Island,3,2,1,0,0,1,0,1,0,0,3,2,1,0,0,10,0,8,0,8,8.417,8.417,0.0,2,1.024,-0.0,-0.0,0.0,2026-05-15
