lat,lon,name,major,minor,nta,borough,nodes,stages,major_cls,major_lanes,minor_cls,minor_lanes,cycle_s,green_s,cross_m,wait_major_s,wait_minor_s,barnes,lpi,subway_access,poi_200m,peds_cross_major,peds_cross_minor,peds_day,lost_hours_day,rank_lost,rank_wait
40.756036,-73.986949,West 42nd Street / 7th Avenue,West 42nd Street,7th Avenue,Midtown-Times Square,Manhattan,1,1,primary,4.0,secondary,4.0,90,22.9,17.0,25.0,25.0,1,0,303663,113,30875,30875,61750,429.2,1,1555
40.768923,-73.982098,Broadway / West 60th Street,Broadway,West 60th Street,Upper West Side-Lincoln Square,Manhattan,2,2,primary,8.0,tertiary,2.0,120,23.4,35.2,77.7,15.3,1,0,104235,87,14925,18365,33290,400.0,2,111
40.713635,-74.003595,Centre Street / Reade Street,Centre Street,Reade Street,Tribeca-Civic Center,Manhattan,2,2,secondary,4.0,unclassified,2.0,90,17.7,23.0,58.0,33.9,1,0,83672,33,14887,14887,29774,380.1,3,335
40.751009,-73.990612,7th Avenue / West 34th Street,7th Avenue,West 34th Street,Midtown-Times Square,Manhattan,1,1,secondary,5.0,primary,4.0,90,25.7,20.1,22.9,25.0,1,0,237032,111,27367,27367,54734,364.6,4,3354
40.755819,-73.986425,West 42nd Street / Broadway,West 42nd Street,Broadway,Midtown-Times Square,Manhattan,1,1,primary,5.0,residential,1.0,90,25.7,20.1,22.9,17.4,1,0,294073,111,30396,30396,60793,340.4,5,3355
40.711551,-74.010474,Church Street / Fulton Street,Church Street,Fulton Street,Financial District-Battery Park City,Manhattan,2,2,secondary,4.0,residential,2.0,90,23.0,23.0,49.9,12.0,0,1,135423,99,18795,18795,37590,322.9,6,367
40.754177,-73.984596,6th Avenue / West 41st Street,6th Avenue,West 41st Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,1.0,90,22.9,17.0,25.0,17.4,1,0,229522,107,26942,26942,53883,317.3,7,1556
40.72509,-73.995357,East Houston Street / Lafayette Street,East Houston Street,Lafayette Street,SoHo-Little Italy-Hudson Square,Manhattan,6,2,primary,8.0,primary,3.0,120,32.0,35.2,64.5,8.1,0,0,90445,137,15458,15458,30915,311.9,8,153
40.711878,-74.006,Park Row / Spruce Street,Park Row,Spruce Street,Financial District-Battery Park City,Manhattan,3,2,secondary,6.0,residential,2.0,90,20.6,29.1,53.5,15.3,1,1,115504,57,15686,17400,33085,307.0,9,352
40.711395,-74.008655,Vesey Street / Broadway,Vesey Street,Broadway,Financial District-Battery Park City,Manhattan,1,1,secondary,3.0,secondary,3.0,90,20.0,13.9,27.2,27.2,1,0,149873,143,21900,17798,39698,299.9,10,1415
40.749706,-73.991563,7th Avenue / West 32nd Street,7th Avenue,West 32nd Street,Midtown South-Flatiron-Union Square,Manhattan,1,1,secondary,5.0,residential,1.0,90,25.7,20.1,22.9,17.4,1,0,213230,128,25994,25994,51987,291.1,11,3356
40.712089,-74.010161,Vesey Street / Church Street,Vesey Street,Church Street,Financial District-Battery Park City,Manhattan,2,2,secondary,4.0,secondary,4.0,90,41.0,23.0,26.7,26.7,0,0,143127,93,19306,19306,38613,286.1,12,1525
40.769745,-73.982124,Broadway / West 61st Street,Broadway,West 61st Street,Upper West Side-Lincoln Square,Manhattan,2,2,primary,8.0,residential,2.0,120,32.0,35.2,64.5,6.0,0,1,78643,81,14448,16027,30475,285.6,13,154
40.711748,-74.007017,Park Row / Beekman Street,Park Row,Beekman Street,Financial District-Battery Park City,Manhattan,2,2,secondary,5.0,residential,1.0,90,23.0,26.1,49.9,6.0,0,1,129257,97,18375,18375,36750,285.1,14,368
40.720984,-73.84291,Queens Boulevard / 71st Road,Queens Boulevard,71st Road,Forest Hills,Queens,4,4,primary,9.0,residential,3.0,120,32.0,50.2,129.1,12.0,0,1,22922,142,7236,7236,14472,283.5,15,1
40.78385,-73.979983,Broadway / West 79th Street,Broadway,West 79th Street,Upper West Side (Central),Manhattan,2,2,primary,8.0,secondary,4.0,120,23.4,35.2,77.7,25.0,1,1,33760,136,8686,9635,18320,254.4,16,112
40.710431,-74.009486,Broadway / Dey Street,Broadway,Dey Street,Financial District-Battery Park City,Manhattan,1,1,secondary,3.0,residential,1.0,90,20.0,13.9,27.2,17.4,1,0,143551,187,19334,21447,40781,249.6,17,1416
40.755373,-73.987447,7th Avenue / West 41st Street,7th Avenue,West 41st Street,Midtown-Times Square,Manhattan,1,1,secondary,3.0,unclassified,2.0,90,26.7,13.9,22.2,6.0,0,1,321198,124,31731,31731,63462,248.8,18,4800
